created_at,handle,mined_at,retweet_count,text,tweet_id,subjectivity,polarity,sentiment
Tue Nov 14 23:50:03 +0000 2017,CNN,2017-11-14 18:56:52.277377,22,Senate Judiciary Chairman Chuck Grassley said he considers the Twitter messages between Donald Trump Jr. and WikiLe… https://t.co/sEgr26rx5I,930583640391774209,0.0,0.0,neutral
Tue Nov 14 23:43:45 +0000 2017,CNN,2017-11-14 18:56:52.277387,60,The Republican National Committee has withdrawn from a joint fundraising agreement with Alabama Senate candidate Ro… https://t.co/metxgt86BE,930582051534884869,0.0,0.0,neutral
Tue Nov 14 23:40:05 +0000 2017,CNN,2017-11-14 18:56:52.277389,17,"ESPN President John Skipper extended his contract with the network through 2021, a source says… https://t.co/ByajXLsf79",930581132038606848,0.0,0.0,neutral
Tue Nov 14 23:39:48 +0000 2017,CNN,2017-11-14 18:56:52.277391,152,Photo shows crowds in Melbourne cheering after Australia votes overwhelmingly in favor of legalizing same-sex marri… https://t.co/u6PLSjzmPK,930581057333850114,1.0,0.5,positive
Tue Nov 14 23:36:10 +0000 2017,CNN,2017-11-14 18:56:52.277393,146,"These rescuers saved six beached sperm whales off the coast of Aceh, Indonesia https://t.co/8o4P4UuiyP https://t.co/K6ggnm8R8o",930580144208711682,0.0,0.0,neutral
Tue Nov 14 23:32:08 +0000 2017,CNN,2017-11-14 18:56:52.277395,34,"Heart failure linked to use of meth is on the rise among US veterans, a study finds https://t.co/XmUqtFg95K https://t.co/Zzaa9KyORq",930579131351420934,0.3,-0.3166666666666667,negative
Tue Nov 14 23:32:08 +0000 2017,CNN,2017-11-14 18:56:52.277398,41,"Ancient pottery jars have led scientists to discover the earliest evidence of winemaking, tracing back 8,000 years… https://t.co/ucNZkj4yWY",930579128952205312,0.0,0.0,neutral
Tue Nov 14 23:32:08 +0000 2017,CNN,2017-11-14 18:56:52.277402,42,"Shooting death this morning linked to string of unsolved killings in Tampa neighborhood within the past month, poli… https://t.co/k3iC4MZMJW",930579128264388608,0.25,-0.25,negative
Tue Nov 14 23:31:06 +0000 2017,CNN,2017-11-14 18:56:52.277404,26,"The supplement kratom, often used to treat pain, anxiety and depression, has ""deadly risks"" and might even expand t… https://t.co/KWTEuaGf0E",930578867823181830,0.4,-0.2,negative
Tue Nov 14 23:28:08 +0000 2017,CNN,2017-11-14 18:56:52.277407,44,A boutique London brewery is turning unwanted bread into craft ale. The goal is to reduce food waste.… https://t.co/35zim75P6R,930578124252827648,0.0,0.0,neutral
Tue Nov 14 23:25:06 +0000 2017,CNN,2017-11-14 18:56:52.277409,68,Puerto Rico's state-owned electric utility ignored advice from its attorneys before inking a controversial $300 mil… https://t.co/UJzOlNQauM,930577360461729792,0.95,0.55,positive
Tue Nov 14 23:23:05 +0000 2017,CNN,2017-11-14 18:56:52.277411,294,"Australia votes overwhelmingly in favor of legalizing same-sex marriage in a nationwide postal survey, setting the… https://t.co/Wx1q2rTDTy",930576853785546752,1.0,0.5,positive
Tue Nov 14 23:17:25 +0000 2017,CNN,2017-11-14 18:56:52.277413,96,"US Attorney General Jeff Sessions often answered with ""I don't recall"" when responding to questions during a House… https://t.co/L1VhShpPF3",930575426392678400,0.5,0.05000000000000002,positive
